anumber	ost	nord	state_of
10891160	640361.550	251080.070	2006
10891260	640817.370	249001.280	2006
10892040	641055.230	253728.340	2006
10892650	641562.740	244718.240	2006
10893082	644202.470	253411.820	2006
10893230	643666.530	250409.100	2006
10893371	644774.480	248290.760	2006
10893481	644327.650	244123.230	2006
10894641	646667.890	246483.860	2006
10894777	646425.670	243818.920	2006
10896063	650529.090	252945.630	2006
10896181	649969.570	248422.810	2006
10897201	652507.860	250560.710	2006
10898311	653618.140	248372.660	2006
10898431	654703.990	245774.240	2006
10898621	654202.190	242474.820	2006
10900000	656313.210	248745.860	2006
10900147	656456.470	252023.570	2006
10900681	656261.510	244199.710	2006
10901351	657430.380	246720.840	2006
10901581	657406.050	242272.030	2006
10902071	660287.030	252148.670	2006
10902151	659132.830	249690.450	2006
10902231	659595.550	248155.710	2006
10902351	659981.140	245963.000	2006
10903261	661404.000	248053.260	2006
10904181	663451.300	251271.990	2006
10905111	666648.930	251702.000	2006
10905292	665254.730	247667.480	2006
10906091	668483.810	252199.730	2006
10906271	667166.050	249010.280	2006
10906280	668809.310	249610.350	2006
10906401	667742.640	246483.250	2006
10906681	667536.250	243019.780	2006
10906701	668676.720	242473.850	2006
10907061	670945.120	253176.490	2006
10907161	670755.000	251561.840	2006
10907401	669986.350	248110.240	2006
10907601	670090.870	245359.450	2006
10907721	669548.900	243586.240	2006
10908040	672164.280	253183.610	2006
10908090	671861.580	251362.620	2006
10908150	671655.030	249872.180	2006
10908271	672285.980	247826.350	2006
10908361	672299.440	246201.960	2006
